"variable","value","ROPE_lower","ROPE_upper","ROPE_prec","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","rmse"
"bXIc",0.1,0.05,0.15,0.1,-0.00019510667844822,-0.000621534774833294,0.048971588216394,0.0497673526041785,-0.0791405262215168,0.0799124039215343,1.00107235062298,6671.20210536916,6522.06821824796,0.11152119115973
"bXId[1]",1,0.7,1.3,0.6,-0.215816640287698,-0.212123781849304,0.358132120143745,0.354370200118018,-0.800036474140323,0.368645096194872,1.00518834593225,1368.16728418979,2659.94127526581,1.26745914567381
"bXId[2]",0,-0.05,0.05,0.1,-0.148441921562207,-0.148275936577416,0.455388792429237,0.451415773789983,-0.898834160421078,0.602311070520096,1.00122153743264,3633.0802625804,4674.68983458045,0.478944708685883
"bXId[3]",-1,-1.3,-0.7,0.6,-0.405676686593287,-0.407706740216901,0.458631890240133,0.457994332174073,-1.15797438009643,0.35925532925736,1.00004081385569,3733.79192787241,5446.38584251205,0.750691094061085
"bZJd[1]",0,-0.05,0.05,0.1,0.00991874409360163,0.0096283044725592,0.0473630870108169,0.0465706320357864,-0.0679576598277735,0.0874344131141045,1.00118587272877,1686.7504511245,3078.5472543302,0.0483876336251028
"bZJd[2]",0,-0.05,0.05,0.1,-0.000966093267835094,-0.000800634514979956,0.0442244330013528,0.044636594572392,-0.0740752843365603,0.0717467868436017,1.00838959944685,1747.04269222633,2858.01443540803,0.0442322205573495
"bZJd[3]",0,-0.05,0.05,0.1,-0.0118547852882433,-0.0118796264630519,0.0237366007694149,0.023326773338775,-0.050177311495984,0.0270123785266004,1.00174684155872,996.530098982853,1842.62683346175,0.0265309578047971
"bXId[2] - bXId[1]",-1,-1.3,-0.7,0.6,0.0673747187254908,0.0741026946967894,0.569602808466264,0.558637243714216,-0.871285721774677,1.00364182886161,1.00252827220971,2279.944200514,3645.28592780302,1.20983287840389
"bXId[3] - bXId[1]",-2,-2.6,-1.4,1.2,-0.189860046305589,-0.192680508369771,0.579928057008026,0.578734204073476,-1.12773522654601,0.781941957185537,1.00150782674154,2163.22028183881,4625.79032235923,1.90075804975199
"bXId[3] - bXId[2]",-1,-1.3,-0.7,0.6,-0.25723476503108,-0.255360467878783,0.633174735747895,0.644405090200406,-1.29869403232193,0.784136911429643,0.99996039060781,3748.64128404069,5102.98814863649,0.975991970503396
"bZJd[2] - bZJd[1]",0,-0.05,0.05,0.1,-0.0108848373614367,-0.00967597062379352,0.0655361975787967,0.0643634639386775,-0.120029120314114,0.0967145901912422,1.005943090433,1709.51276932616,2565.27354629489,0.0664299330371698
"bZJd[3] - bZJd[1]",0,-0.05,0.05,0.1,-0.0217735293818449,-0.0225240696515029,0.0522086899973233,0.0517639063686896,-0.107846310784087,0.0646866179698937,1.00192491021233,1613.79961146803,2846.81284572789,0.0565640625712542
"bZJd[3] - bZJd[2]",0,-0.05,0.05,0.1,-0.0108886920204082,-0.0108890887069534,0.0497919339423911,0.0503121708078596,-0.0915522469110574,0.0714403907980915,1.00740456496707,1505.62431747642,2360.57775571091,0.0509655804936334
"sA[1]",0.2,0.1,0.3,0.2,2.37246700984448,2.37086327355276,0.0772502711373761,0.0774290896881382,2.24929634659833,2.50371243620374,1.00141693728392,8551.07742058715,5308.00593910476,2.68233834016005
"sI[1]",1.5,0.9,2.1,1.2,2.86590740239366,2.84179181103865,0.296458561885316,0.286425645217208,2.4226186837056,3.38478820480862,1.00164696468518,1912.58047983044,2566.58443676207,0.875879867166281
"sK[1]",0.1,0.05,0.15,0.1,0.349993288689847,0.349975153331491,0.00358217618401841,0.00360605357193499,0.344150246226782,0.355950293898441,1.00013232474446,10015.3547759005,5341.36447244442,0.0394437386375186
"sJ[1]",0.5,0.35,0.65,0.3,0.137076823086496,0.136022842251087,0.0134588391052616,0.0135434049462434,0.116771401745165,0.160682576311945,1.0013067707991,1513.53083041764,2383.79325401025,0.150049471242996
"TIA[1,1]",1.501,0.901,2.101,1.2,0,0,0,NA,0,0,NA,NA,NA,1.501
"TIA[1,2]",1.861,1.261,2.461,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIA[1,3]",1.782,1.182,2.382,1.2,0.748845364778315,0.748845364778315,0.86933048432081,NA,-0.681076035376249,2.17876676493288,NA,NA,NA,1.34657890836459
"TIA[1,4]",1.885,1.285,2.485,1.2,-0.333225351009129,-0.333225351009129,0.811262157682689,NA,-1.66763285348198,1.00118215146372,NA,NA,NA,2.36525234087539
"TIA[1,5]",1.555,0.955,2.155,1.2,-0.140014670545146,-0.140014670545146,0.84440598151983,NA,-1.52893891186756,1.24890957077726,NA,NA,NA,1.91103595288745
"TIA[1,6]",1.667,1.067,2.267,1.2,0.675556705671798,0.675556705671798,0.851878504714086,NA,-0.725658742529163,2.07677215387276,NA,NA,NA,1.30431606468237
"TIA[1,7]",1.732,1.132,2.332,1.2,0.655532243976811,0.655532243976811,0.865435148185018,NA,-0.767981898406601,2.07904638636022,NA,NA,NA,1.36392467221085
"TIA[1,8]",1.596,0.996,2.196,1.2,0.253877256415351,0.253877256415351,0.87526427472878,NA,-1.18580436041333,1.69355887324403,NA,NA,NA,1.59297689363147
"TIA[1,9]",2.056,1.456,2.656,1.2,1.41938730792949,1.41938730792949,0.989131749518304,NA,-0.207589637798552,3.04636425365752,NA,NA,NA,1.16590205108164
"TIA[1,10]",1.408,0.808,2.008,1.2,0.682841215743541,0.682841215743541,0.925872158034267,NA,-0.84008296149251,2.20576539297959,NA,NA,NA,1.17472121188258
"TIA[2,1]",-0.37,-0.52,-0.22,0.3,-1.29549205685343,-1.29549205685343,0.822169026611032,NA,-2.64783976224174,0.0568556485348901,NA,NA,NA,1.23791884642243
"TIA[2,2]",-0.172,-0.272,-0.072,0.2,-1.42408246498318,-1.42408246498318,0.835509770598849,NA,-2.79837374150609,-0.049791188460274,NA,NA,NA,1.49504222928077
"TIA[2,3]",-0.179,-0.279,-0.079,0.2,-1.16411034227808,-1.16411034227808,0.843936872365075,NA,-2.55226296770586,0.224042283149694,NA,NA,NA,1.30987859472431
"TIA[2,4]",-0.515,-0.715,-0.315,0.4,-3.46344162742261,-3.46344162742261,1.05414622167903,NA,-5.19735786348857,-1.72952539135666,NA,NA,NA,3.1444102184252
"TIA[2,5]",-0.341,-0.491,-0.191,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIA[2,6]",-0.215,-0.365,-0.065,0.3,-0.969250766233467,-0.969250766233467,0.837608112106035,NA,-2.34699350739505,0.408491974928119,NA,NA,NA,1.12440083679102
"TIA[2,7]",-0.294,-0.444,-0.144,0.3,-2.59735459759314,-2.59735459759314,0.887706862187553,NA,-4.05750244953205,-1.13720674565423,NA,NA,NA,2.46332549514481
"TIA[2,8]",-0.375,-0.525,-0.225,0.3,-1.46208752408314,-1.46208752408314,0.814241206771526,NA,-2.80139512625463,-0.122779921911655,NA,NA,NA,1.34001720585895
"TIA[2,9]",-0.73,-0.93,-0.53,0.4,-2.44866264411525,-2.44866264411525,0.893794530749676,NA,-3.91882381976824,-0.978501468462257,NA,NA,NA,1.94988853128104
"TIA[2,10]",-0.375,-0.525,-0.225,0.3,-2.29647197233882,-2.29647197233882,0.855500335929159,NA,-3.70364480275011,-0.889299141927546,NA,NA,NA,2.09334465345089
"TIA[3,1]",-0.772,-0.972,-0.572,0.4,-2.43889681554868,-2.43889681554868,0.930257298129151,NA,-3.9690339063745,-0.908759724722874,NA,NA,NA,1.9146479944022
"TIA[3,2]",-0.473,-0.623,-0.323,0.3,-3.23452272570333,-3.23452272570333,1.01325192256187,NA,-4.90117382554477,-1.56787162586189,NA,NA,NA,2.95206493034487
"TIA[3,3]",-0.291,-0.441,-0.141,0.3,-3.22092032975157,-3.22092032975157,1.01146355521192,NA,-4.88462982707114,-1.55721083243201,NA,NA,NA,3.1179277407028
"TIA[3,4]",-0.618,-0.818,-0.418,0.4,-2.55335375686138,-2.55335375686138,0.918932770800641,NA,-4.06486365783738,-1.04184385588538,NA,NA,NA,2.13871589539916
"TIA[3,5]",-0.462,-0.612,-0.312,0.3,-2.04443529968138,-2.04443529968138,0.843093222594285,NA,-3.4312002447238,-0.657670354638968,NA,NA,NA,1.7901924785031
"TIA[3,6]",-0.459,-0.609,-0.309,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIA[3,7]",-0.424,-0.574,-0.274,0.3,-2.0748722922176,-2.0748722922176,0.861604793243967,NA,-3.49208606138371,-0.657658523051488,NA,NA,NA,1.86064566956573
"TIA[3,8]",-0.603,-0.803,-0.403,0.4,-1.88172926935793,-1.88172926935793,0.838673369733314,NA,-3.26122420339138,-0.502234335324476,NA,NA,NA,1.51725555512839
"TIA[3,9]",-0.592,-0.792,-0.392,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIA[3,10]",-0.354,-0.504,-0.204,0.3,-1.72947954553138,-1.72947954553138,0.857412678187701,NA,-3.13979789904259,-0.319161192020164,NA,NA,NA,1.61658387569566
"TIA[4,1]",1.034,0.734,1.334,0.6,-0.152849985240878,-0.152849985240878,0.833981990087797,NA,-1.524628286449,1.21892831596724,NA,NA,NA,1.44023689574711
"TIA[4,2]",1.055,0.755,1.355,0.6,-0.322366535683679,-0.322366535683679,0.849408768348981,NA,-1.71951962906688,1.07478655769952,NA,NA,NA,1.61913793463456
"TIA[4,3]",0.695,0.495,0.895,0.4,-1.55367424791935,-1.55367424791935,0.815859377217359,NA,-2.89564350361769,-0.211704992221003,NA,NA,NA,2.3770864192272
"TIA[4,4]",0.804,0.504,1.104,0.6,-0.527989672762788,-0.527989672762788,0.823636363927247,NA,-1.88275093325764,0.826771587732066,NA,NA,NA,1.55554004564141
"TIA[4,5]",0.676,0.476,0.876,0.4,-0.19705179161819,-0.19705179161819,0.823273484810824,NA,-1.55121616908225,1.15711258584587,NA,NA,NA,1.19352907756629
