"variable","value","ROPE_lower","ROPE_upper","ROPE_prec","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","rmse"
"bXIc",0.1,0.05,0.15,0.1,0.0466985735749671,0.0467593475,0.0437855210835499,0.0445292497755,-0.02496989335,0.1179945245,1.00009279935957,7789.94332025294,6303.70160654998,0.0689780709285141
"bXId[1]",1,0.7,1.3,0.6,0.583184156264546,0.584516885,0.353615834685387,0.351401871219,0.000194191061250008,1.1613016,1.00004010079387,4495.55979881361,5346.66949215802,0.546593062167207
"bXId[2]",0,-0.05,0.05,0.1,0.0367127178263175,0.031671047,0.34757590931932,0.3465057804222,-0.5289391935,0.6134221805,1.00038371404222,7697.57338841492,5238.40674795579,0.349487818475487
"bXId[3]",-1,-1.3,-0.7,0.6,-0.62011539931124,-0.6278534,0.373755301800341,0.375587287803,-1.21983662,-0.00932619167000038,1.00003768849407,7212.94979352535,5501.53960089225,0.532905126486995
"bZJd[1]",0,-0.05,0.05,0.1,-0.043108252492505,-0.043932696,0.170750973499891,0.1686523053159,-0.3222708,0.2315812005,0.999848855889808,6501.36082332198,6492.98981236429,0.176098188228185
"bZJd[2]",0,-0.05,0.05,0.1,-0.0425828155496063,-0.039907738,0.197912822109657,0.1974563648631,-0.3701014075,0.2815584,1.0000484114598,5958.25628730789,6355.12677245719,0.202429951217442
"bZJd[3]",0,-0.05,0.05,0.1,-0.163866023281667,-0.16542811,0.202334349484677,0.2006347071456,-0.4871570865,0.168776476,1.00098961918106,1517.57644705405,3042.63021703276,0.260357725387423
"sA[1]",0.2,0.1,0.3,0.2,0.208316154878125,0.211011695,0.0616356788205855,0.061425830403,0.1002948065,0.3043953255,1.00166634699519,2439.63874383598,3412.35254918098,0.062190356696343
"sI[1]",1.5,0.9,2.1,1.2,1.58780061755,1.5820372,0.150887225951948,0.15338942535,1.35279777,1.845696885,1.0017798594398,2341.639553117,3840.11297658974,0.174565338851291
"sI[2]",0.75,0.55,0.95,0.4,0.4776760473745,0.46505223,0.148671487168033,0.147968098299,0.2598123195,0.7443795525,1.00054181395706,3901.30525986619,5041.98050068263,0.310259219635683
"sI[3]",0.75,0.55,0.95,0.4,0.934523335475,0.927603385,0.169209667522168,0.174382692939,0.6652049585,1.222639715,1.0002219017562,3477.47377081483,4563.63054619374,0.250354137031594
"sJ[1]",0.5,0.35,0.65,0.3,0.546350396315,0.537328075,0.123981168532601,0.1233493548,0.356649906,0.7640047895,1.00099309075963,4538.05620753915,5288.3178696591,0.132354705141139
"sJ[2]",1,0.7,1.3,0.6,0.77905538149375,0.775446765,0.129783854915124,0.129980972709,0.574538724,1.00180456,1.00090826505159,4379.62085219592,6112.83422184025,0.256238693335682
"sJ[3]",1.5,0.9,2.1,1.2,1.6745942225125,1.6726341,0.133218900910706,0.13383274527,1.457822475,1.894357275,1.00034440970549,3249.90756145456,4295.11047625651,0.219609197633332
"TIA[1,1]",1.501,0.901,2.101,1.2,1.7202704010575,1.71662155,0.452655107860276,0.44622968628,0.9862780575,2.467077125,1.00022432408481,7590.25646019195,6328.17667798931,0.50294188866218
"TIA[1,2]",1.861,1.261,2.461,1.2,1.8252531795,1.8174093,0.460777872179952,0.46689920592,1.06485173,2.57769629,1.00035719545167,7116.88008414632,5956.75807234667,0.46213368535047
"TIA[1,3]",1.782,1.182,2.382,1.2,1.787077669385,1.78394975,0.455620315511356,0.45886714629,1.04958311,2.54853441,1.00043963193732,7329.91339480444,6515.65454827807,0.455620133333749
"TIA[1,4]",1.885,1.285,2.485,1.2,1.67193769056688,1.6712714,0.451187819993107,0.44682102129,0.9254629215,2.413776425,1.00016078729603,6863.09169930041,6188.07562969275,0.498939425486697
"TIA[1,5]",1.555,0.955,2.155,1.2,1.69795620170306,1.6978948,0.454354569015236,0.45471912801,0.954948045,2.438354605,1.00031686418132,7270.44001369472,6393.31334842957,0.476286410924235
"TIA[1,6]",1.667,1.067,2.267,1.2,1.74545319965625,1.7414517,0.457765564387305,0.45755289552,0.996940214,2.49898699,1.00020819832602,7495.87724382852,6071.60469750758,0.46441148005959
"TIA[1,7]",1.732,1.132,2.332,1.2,1.7591662267015,1.7526425,0.456371629074843,0.45263904021,1.02366146,2.5287499,1.00030606504749,7288.05701656203,6069.32848936767,0.457150996186867
"TIA[1,8]",1.596,0.996,2.196,1.2,1.69883236787812,1.69325785,0.456564991524451,0.46440569511,0.9541558105,2.451897145,1.00026168033308,7698.01246352405,6382.41973538426,0.467974391308123
"TIA[1,9]",2.056,1.456,2.656,1.2,1.8760998632425,1.86808605,0.455596225915498,0.45943957815,1.143720855,2.635703055,1.00034537050924,7064.99501921059,6046.52837250978,0.48980203581006
"TIA[1,10]",1.408,0.808,2.008,1.2,1.75431798835105,1.75405945,0.45747221784345,0.45970096053,1.01802583,2.502851595,1.00021331954889,7311.05178003488,6049.69114002882,0.5737515307608
